json,regio
db/rvr/geojson/1e_druk_serie1.geojson|01 schenkenschans_1830,eerste druk-1-1-1830-schenkenschans
db/rvr/geojson/1e_druk_serie1.geojson|02 kekerdom_1830,eerste druk-1-2-1830-kekerdom
db/rvr/geojson/1e_druk_serie1.geojson|02a supplement_02 kekerdom,"eerste druk-1-02a-1830-suplementair blad, behoorende bij het blad no. 2 kekerdom"
db/rvr/geojson/1e_druk_serie1.geojson|03 nijmegen_1830,eerste druk-1-3-1830-nijmegen
db/rvr/geojson/1e_druk_serie1.geojson|04 herveld_1830,eerste druk-1-4-1830-herveld
db/rvr/geojson/1e_druk_serie1.geojson|05 dodewaard_1831,eerste druk-1-5-1831-dodewaard
db/rvr/geojson/1e_druk_serie1.geojson|06 leeuwen_1831,eerste druk-1-6-1831-leeuwen
db/rvr/geojson/1e_druk_serie1.geojson|07 tiel_1831,eerste druk-1-7-1831-tiel
db/rvr/geojson/1e_druk_serie1.geojson|08 varik_1831,eerste druk-1-8-1831-varik
db/rvr/geojson/1e_druk_serie1.geojson|09 bommel_1832,eerste druk-1-9-1832-zalt-boemel
db/rvr/geojson/1e_druk_serie1.geojson|10 zuilichem_1832,eerste druk-1-10-1832-zuilichem
db/rvr/geojson/1e_druk_serie1.geojson|11 brakel_1832,eerste druk-1-11-1832-brakel
db/rvr/geojson/1e_druk_serie1.geojson|12 gorinchem_1833,eerste druk-1-12-1833-gorinchem
db/rvr/geojson/1e_druk_serie1.geojson|13 giesendam_1833,eerste druk-1-13-1833-giesendam
db/rvr/geojson/1e_druk_serie1.geojson|14 dordrecht_1833,eerste druk-1-14-1833-dordrecht
db/rvr/geojson/1e_druk_serie1.geojson|15 puttershoek_1833,eerste druk-1-15-1833-puttershoek
db/rvr/geojson/1e_druk_serie1.geojson|16 heinenoord_1834,eerste druk-1-16-1834-heinenoord
db/rvr/geojson/1e_druk_serie1.geojson|17 poortugaal_1834,eerste druk-1-17-1834-poortugaal
db/rvr/geojson/1e_druk_serie2.geojson|01 schenkenschans_1830,eerste druk-2-1-1830-schenkenschans
db/rvr/geojson/1e_druk_serie2.geojson|02 kekerdom_1830,eerste druk-2-2-1830-kekerdom
db/rvr/geojson/1e_druk_serie2.geojson|02a supplement 02 kekerdom_1830,"eerste druk-2-02a-1834-suplementair blad, behoorende bij het blad no. 2 kekerdom"
db/rvr/geojson/1e_druk_serie2.geojson|03 angeren_1834,eerste druk-2-3-1834-angeren
