Id ,serie_editie     ,serie ,serietekst                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,nr   ,titel                                                                                                                                                                                                                                                                                                                                                                                ,auteurs                                                                                                                                                                                 ,editie                               ,jaar metingen           ,jaar van uitgave,linksonder                                                ,rechtsonder          ,uitgever                                                 ,Drukker                                                 ,schaal         ,Stempel TIArchief                 ,StempelTIKaartenarchief                 ,StempelBiblPontonniers               ,StempelKVGIVU                                              ,StempelKaartenzaal                                  ,Stempel                    ,opmerkingen                                                                                                                                                                            ,Fyskenm                                        ,provenance,aanwezig in ub,image                                                                                                                       ,Opmerkingen PV
419,EERSTE DRUK      ,1     ,"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten."                    ,00B  ,"	Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn eerste_druk/Serie_1/00 Voorstelling Nieuwe Merwede_Hollandsch Diep en Haringvliet van Gorinchem tot Hellevoetsluis.1863.jpgen Geldersche Ijssel van Emmerik tot de Zuiderzee : de Nieuwe Merwede, het Hollandsch Diep en Haringvliet van Gorinchem tot Hellevoetsluis",                                                                                                                                                                                        ,                                     ,                        ,"1863,00"       ,                                                          ,                     ,                                                         ,                                                        ,               ,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,eerste_druk/Serie_1/00 Voorstelling Nieuwe Merwede_Hollandsch Diep en Haringvliet van Gorinchem tot Hellevoetsluis.1863.jpg ,
420,EERSTE DRUK      ,1     ,"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten."                    ,00C  ,"	Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn en Geldersche Ijssel van Emmerik tot de Zuiderzee : Linge en Kanaal van Steenenhoek"                                                                                                                                                                                  ,                                                                                                                                                                                        ,                                     ,                        ,"1863,00"       ,                                                          ,                     ,                                                         ,                                                        ,               ,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,eerste_druk/Serie_1/00 Voorstelling van Linge en Kanaal van Steenenhoek_1863.jpg                                            ,
421,EERSTE DRUK      ,1     ,"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten."                    ,00D  ,"	Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn en Geldersche Ijssel van Emmerik tot de Zuiderzee : Vecht en Zwarte Water van de mond der Regge tot Kraggenburg"                                                                                                                                                      ,                                                                                                                                                                                        ,                                     ,                        ,"1863,00"       ,                                                          ,                     ,                                                         ,                                                        ,               ,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,eerste_druk/Serie_1/00 Voorstelling van Vecht en Zwarte Water van de mond der Regge tot Kraggenburg_1863.jpg                ,
479,EERSTE HERZIENING,7     ,"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                                                                                            ,S2   ,’s-Gravemoer                                                                                                                                                                                                                                                                                                                                                                         ,Gegr. door Fred. Kierdorff ; opgemeeten door den ambtenaar J.W. Hermanie ; de kaart gebracht en geteekend door den ambtenaar H.J. van Weezel Errens                                     ,                                     ,                        ,"1910,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,eerste_herziening/Serie_7/S2 's-Gravemoer. 1910.jpg                                                                         ,
469,EERSTE DRUK      ,1     ,"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten."                    ,S1   ,’s-Gravendeel                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                        ,                                     ,1833                    ,"1833,00"       ,                                                          ,                     ,['s-Gravenhage : Staatsuitgeverij]                       ,(Delft : Directie der Militaire Verkenningen)           ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel"""                                                                                                                ,                                               ,Nugter    ,Ja            ,-                                                                                                                           ,
473,EERSTE HERZIENING,6     ,"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                                                                  ,S1   ,’s-Gravendeel                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                        ,                                     ,                        ,"1880,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,eerste_herziening/Serie_7/S1 's-Gravendeel. 1914.jpg                                                                        ,bij rws in 7
440,TWEEDE HERZIENING,1     ,"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                  ,15B  ,’s-Gravendeel                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                        ,Zesde uitgave                        ,                        ,"1947,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,tweede_herziening/Serie_1/15B 's-Gravendeel (zesde uitgave). 1947.jpg                                                       ,
442,VASSEN-HERZIENING,1     ,"Boven-Rijn, Waal, Boven- en Beneden Merwede, Noord, Dordtsche Kil, Oude Maas, Spui, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [’s-Gravenhage : Topografische Inrichting, 1920-1931]. – 1 serie in 12 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                               ,15b  ,’s-Gravendeel (Zuid)                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                        ,                                     ,                        ,1931            ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,-                                                                                                                           ,Voorlopig jaar toegevoegd
441,VASSEN-HERZIENING,1     ,"Boven-Rijn, Waal, Boven- en Beneden Merwede, Noord, Dordtsche Kil, Oude Maas, Spui, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [’s-Gravenhage : Topografische Inrichting, 1920-1931]. – 1 serie in 12 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                               ,15b  ,’s-Gravendeel Noord)                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                        ,                                     ,                        ,1931            ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,-                                                                                                                           ,Voorlopig jaar toegevoegd
456,TWEEDE HERZIENING,3     ,"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                          ,32B  ,’s-Gravenmoer                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                        ,Tweede uitgave                       ,                        ,"1954,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,tweede_herziening/Serie_3/32b 's-Gravenmoer (tweede uitgave). 1954.jpg                                                      ,
