Titel,Jaar van uitgave,Editievermelding,Editievermelding op stempel,verkend,gegraveerd,herzien,ged.herzien,stempel,omgewerkt,bijgewerkt,uitgave,Bladnummer,UBVU-ID,Reference URL,CONTENTdm number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Indexkaart],,,,,,,,,,,,,0106050815001,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2065,2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Titelblad],,,,,,,,,,,,,0106050815002,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2066,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladwijzer,1915,1915.,,,,,,,,,,,0106050815003,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2067,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verklaring,1910,Uitgave 1910.,,,,,,,,,,,0106050815004,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2068,2068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Ameland,1888,Verkend in 1854 Gegraveerd Top Bureau 1861.,HERZIEN 1888,1854,1861,,,HERZIEN 1888,,,,1,0106050815005,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2069,2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Schiermonnikoog,1888,Verkend in 1854 Gegraveerd Top Bureau 1861.,HERZIEN 1888,1854,1861,,,HERZIEN 1888,,,,2,0106050815006,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2070,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Uithuizen,1897,Verkend in 1853. Gegraveerd Top Bureau 1860.,1897.,1853,1860,,,1897,,,,3,0106050815007,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2071,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Vlieland,1888,Verkend in 1855 Gegraveerd Top Bureau 1862.,HERZIEN 1888,1855,1862,,,HERZIEN 1888,,,,4,0106050815008,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2072,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Harlingen,1908,Verkend in 1865 Gegraveerd Top. Bureau 1862.;; herzien in 1904.,1908,1865,1862,,1904,1908,,,,5,0106050815009,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2073,2073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Leeuwarden,1910,Verkend in 1854. Ged. herzien tot 1904.;; Uitgave 1910.,,1854,,1904,,,,,1910,6,0106050815010,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2074,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Groningen,1917,Verkend in 1853. Herzien tot 1905; ged. herzien tot 1916.;; Uitgave 1917.,,1853,,1905,1916,,,,1917,7,0106050815011,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2075,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Nieuweschans,1917,Verkend in 1853 Herzien in 1902; ged. herzien in 1916.;; Uitgave 1917.,,1853,,1902,1916,,,,1917,8,0106050815012,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2076,2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Helder,1899,Verkend in 1859 Gegraveerd Top Bureau 1863.,1899.,1859,1863,,,1899,,,,9,0106050815013,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2077,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Sneek,1909,Verkend in 1854. Herzien in 1903 en 1904 ; ged. herzien in 1908;; Uitgave 1909,,1854,,1903 en 1904,,,,,1909,10,0106050815014,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2078,2078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Heerenveen,1909,Verkend in 1854. Herzien in 1904.;; Uitgave 1909.,,1854,,1904,,,,,1909,11,0106050815015,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2079,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Assen,1909,"Verkend in 1853 , Gegraveerd Top. Bureau 1860.;; Omgewerkt naar de gegevens der Militaire Verkenningen van 1896 tot 1905.",1909,1853,1860,,,1909,1896 tot 1905,,,12,0106050815016,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2080,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Bourtange,1918,"Verkend in 1852. Herzien in 1902, ged. herzien tot 1916.;; Uitgave 1918.",,1852,,1902,1916,,,,1918,13,0106050815017,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2081,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Medemblik,1918,Verkend in 1858. Herzien in 1877 en 1878; Ged. herzien tot 1916.;; Uitgave 1918.,,1858,,1877 en 1878,1916,,,,1918,14,0106050815018,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2082,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Stavoren,1909,Verkend in 1855. Herzien in 1904 ; ged. herzien tot 1908.;; Uitgave 1909.,,1855,,1904,1908,,,,1909,15,0106050815019,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2083,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Steenwijk,1909,Verkend in 1853. Herzien in 1904.;; Uitgave 1909.,,1853,,1904,,,,,1909,16,0106050815020,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2084,2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Beilen,1914,Verkend in 1851 en 1852 Herzien tot 1900 ; ged. herzien to 1913.;; Uitgave 1914.,,1851 en 1852,,1900,1913,,,,1914,17,0106050815021,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2085,2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
