Titel	Documentsoort	Editie	Mathematische gegevens	Uitgave	Jaar van uitgave	Land van uitgave	Specificaties kaart	Koepeltitel	Afgebeelde persoon	Auteurs	(Co)auteurs	Drukker	Titelvariant	Kunstenaar	Overige betrokkenen	Drukkersgegevens	Inhoud	Delen	Annotatie geografische gegevens	Annotatie	Samenvatting	Relaties	Referentie	Bronvermelding	Nederlandse Basisclassificatie	Lokale classificatie	Geografische trefwoorden	Vormtrefwoorden	GOO trefwoorden	Periode van onderwerp	Provenance	Collectie	Signatuur origineel	Gegevens digitalisering	Toegangsgegevens (URL)	PPN	EPN	PPN origineel	Taal	Bandbeschrijving	ggc034	ggc035	ggc036	ggc037	ggc038	ggc039	ggc040	ggc041	ggc042	ggc043	ggc044	ggc045	ggc046	ggc047	ggc048	ggc049	ggc055	ggc056	ggc057	ggc058	ggc059	ggc060	zoomnr	Editievermelding	Editievermelding op stempel	Bladnummer	Rechten	UBVU-ID	lok008	lok009	lok010	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
[Indexkaart]																																																															09779_000					0106050815001					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2065	2065	2882.jp2	/krt/image/2882.jp2
[Titelblad]																																																															09779_01					0106050815002					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2066	2066	2883.jp2	/krt/image/2883.jp2
Bladwijzer					1915																																																										09779_02	1915.				0106050815003					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2067	2067	2884.jp2	/krt/image/2884.jp2
Verklaring					1910																																																										09779_03	Uitgave 1910.				0106050815004					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2068	2068	2885.jp2	/krt/image/2885.jp2
1 Ameland					1888																																																										09779_04	Verkend in 1854 Gegraveerd Top Bureau 1861.	HERZIEN 1888	1		0106050815005					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2069	2069	2886.jp2	/krt/image/2886.jp2
2 Schiermonnikoog					1888																																																										09779_05	Verkend in 1854 Gegraveerd Top Bureau 1861.	HERZIEN 1888	2		0106050815006					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2070	2070	2887.jp2	/krt/image/2887.jp2
3 Uithuizen					1897																																																										09779_06	Verkend in 1853. Gegraveerd Top Bureau 1860.	1897.	3		0106050815007					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2071	2071	2888.jp2	/krt/image/2888.jp2
4 Vlieland					1888																																																										09779_07	Verkend in 1855 Gegraveerd Top Bureau 1862.	HERZIEN 1888	4		0106050815008					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2072	2072	2889.jp2	/krt/image/2889.jp2
5 Harlingen					1908																																																										09779_08	Verkend in 1865 Gegraveerd Top. Bureau 1862.;; herzien in 1904.	1908	5		0106050815009					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2073	2073	2890.jp2	/krt/image/2890.jp2
6 Leeuwarden					1910																																																										09779_09	Verkend in 1854. Ged. herzien tot 1904.;; Uitgave 1910.		6		0106050815010					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2074	2074	2891.jp2	/krt/image/2891.jp2
