Titel                                                                                                                                                                                                        ,Documentsoort         ,Editie,Mathematische gegevens,Uitgave                                ,Jaar van uitgave,Land van uitgave,Specificaties kaart                                                     ,Koepeltitel,Afgebeelde persoon,Auteurs,(Co)auteurs                         ,Drukker,Titelvariant,Kunstenaar,Overige betrokkenen,Drukkersgegevens,Inhoud                        ,Delen,Annotatie geografische gegevens,Annotatie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Samenvatting,Relaties                ,Referentie,Bronvermelding,Nederlandse Basisclassificatie,Lokale classificatie       ,Geografische trefwoorden,Vormtrefwoorden,GOO trefwoorden,Periode van onderwerp,Provenance,Collectie                        ,Signatuur origineel,Gegevens digitalisering                                                                                                                                                                ,Toegangsgegevens (URL)                              ,PPN      ,EPN       ,PPN origineel,Taal,Bandbeschrijving,ggc034,ggc035,ggc036,ggc037,ggc038,ggc039,ggc040,ggc041,ggc042,ggc043,ggc044,ggc045,ggc046,ggc047,ggc048,ggc049,ggc055,ggc056,ggc057,ggc058,ggc059,ggc060                   ,zoomnr         ,Editievermelding                                                                                                                                                                              ,Stempel                                                                              ,verkend      ,gegraveerd,herzien     ,ged.herzien ,omgewerkt            ,bijgewerkt          ,uitgave,opmerkingen      ,Bladnummer,Rechten                                                                        ,UBVU-ID      ,lok008,lok009,lok010,OCLC number,Date created,Date modified,Reference URL                                                    ,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Verklaring 1864                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1864            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1864   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001001,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6517,6517            ,6569.jp2           ,/krt/image/6569.jp2
Verklaring 1888                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1888            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1888   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001002,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6518,6518            ,6570.jp2           ,/krt/image/6570.jp2
Verklaring 1896                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1896            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1896   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001003,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6519,6519            ,6571.jp2           ,/krt/image/6571.jp2
Verklaring 1900                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1900            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1900   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001004,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6520,6520            ,6572.jp2           ,/krt/image/6572.jp2
Verklaring 1902                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1902            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1902   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001005,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6521,6521            ,6573.jp2           ,/krt/image/6573.jp2
Verklaring 1903                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1903            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1903   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001006,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6522,6522            ,6574.jp2           ,/krt/image/6574.jp2
Verklaring 1910                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1910            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1910   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001007,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6523,6523            ,6575.jp2           ,/krt/image/6575.jp2
Verklaring 1931                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1931            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Legenda_1931   ,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001008,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6524,6524            ,6576.jp2           ,/krt/image/6576.jp2
Bladwijzer 1889                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1889            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Bladwijzer_1889,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001009,      ,      ,      ,           ,9-3-2015    ,9-3-2015     ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6525,6525            ,6577.jp2           ,/krt/image/6577.jp2
Bladwijzer 1850                                                                                                                                                                                              ,                      ,      ,                      ,                                       ,1850            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,Bladwijzer_1850,                                                                                                                                                                                              ,                                                                                     ,             ,          ,            ,            ,                     ,                    ,       ,                 ,          ,                                                                               ,0120050001010,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6526,6526            ,6578.jp2           ,/krt/image/6578.jp2
