editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,1,TERSCHELLING,Min. v. Oorl. Top. Bur.,,1868,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/01 Terschelling.jpg
1,1,AMELAND,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/01 Ameland.jpg
1,2,SCHIERMONNIKOOG 1,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/02 Schiermonnikoog-1.jpg
1,2,SCHIERMONNIKOOG 2,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/02 Schiermonnikoog-2.jpg
1,3,UITHUIZEN 1,Top. Inrichting,,1889,1888,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/03 Uithuizen-1.jpg
1,3,UITHUIZEN 2,Top. inrichting,,1888,1887,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/03 Uithuizen-2.jpg
1,3,UITHUIZEN 3,Top. Inrichting,,1888,1887,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/03 Uithuizen-3.jpg
1,4,VLIELAND 1,Min. v. Oorl. Top. Bur.,,1868,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/04 Vlieland-1.jpg
1,4,VLIELAND 2,Min. v. Oorl. Top. Bur.,,1868,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/04 Vlieland-2.jpg
1,5,HARLINGEN 1,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/05 Harlingen-1.jpg
1,5,HARLINGEN 2,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/05 Harlingen-2.jpg
1,5,HARLINGEN 3,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/05 Harlingen-3.jpg
1,6,LEEUWARDEN 1,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/06 Leeuwarden-1.jpg
1,6,LEEUWARDEN 2,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/06 Leeuwarden-2.jpg
1,6,LEEUWARDEN 3,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/06 Leeuwarden-3.jpg
1,6,LEEUWARDEN 4,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/06 Leeuwarden-4.jpg
1,7,GRONINGEN 1,Top. Inrichting,,1888,1887,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/07 Groningen-1.jpg
1,7,GRONINGEN 2,Top. Inrichting,,1888,1886,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/07 Groningen-2.jpg
1,7,GRONINGEN 3,Top. Inrichting,,1887,1886,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/07 Groningen-3.jpg
