Nr;Titel;Herz.;Bew.;Uitgave;Editie;W.krt;Bijkrt, w.e.;Bijkrt, h.w.;Fys. Kenm.;Stempels;Prov.; op bladindex;Signatuur;Opm.;Kartob.;Bewaard;;
Titelblad;Algemeene Toelichting;;;;;;;;Randen linnen;;Nugter;;;Titelblad;;;;
Bijlage;Waterstaatskaart (herziening);;;;;;;;;;Nugter;;;"Bijlage 11 (bijschrift; 1930)";;;;
Bijlage;Waterstaatskaart (herziening);;;;;;;;;Topographische Inrichting;Nugter;;;Bijlage 11 (XI);;;;
Bijlage;Bladwijzer der Waterstaatskaart van het Koninkrijk der Nederlanden;;;;;;;;;Topographische Inrichting;Nugter;;;Bladwijzer;;;;
1;Ameland;;1873;;1;;;;;"Topographische Inrichting; Geschenk Koninklijk Huisarchief 1971";Nugter;;;2 scheurtjes;;Nugter;;0
1;Ameland;1915;1916;;2;;;;;Geschenk Koninklijk Huisarchief 1971;Nugter;;;;;Nugter;;0
1;Ameland;1941;;;3;;;;;;Nugter;;;;;Nugter;;0
1;Ameland-Oost;1964;;1965;4;;;;;;Nugter;Ja;;;;VU;;0
1;Ameland-West;1964;;1965;4;;;;;;Nugter;Ja;;;;VU;;0
1;Terschelling;1868;;;1;;;;;Topographische Inrichting;Nugter;;;;;;;0
1-5;Terschelling;1916;1917;;2;;;;Op linnen;Topographische Inrichting;Nugter;;;;;;;0
1;Terschelling;1946;1947;;3;;;;;;Nugter;;;;;;;0
1;Terschelling-Oost;1972;;1972;5;Ja;;;;;Nugter;Ja;;;;;;0
1;Terschelling-Oost;;;1972;5;;;H;;;Nugter;Ja;;;;;;0
1;Terschelling-Oost;1972;;1972;5;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;;;0
1;Terschelling-West;1971;;1971;5;Ja;;;;;Nugter;Ja;;;;;;0
1;Terschelling-West;1971;;;5;;;H;;;Nugter;Ja;;;;;;0
1;Terschelling-West;1971;;1971;5;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;;;0
2;schiermonnikoog 1;;1873;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;Schiermonnikoog bestaat uit halfbladen i.p.v. kwartbladen;;Nugter;;0
2;schiermonnikoog 1;1915;1916;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
2;schiermonnikoog (West);1941;;;3;;;;;;Nugter;;LL.03515gk;;;Nugter;;0
2;schiermonnikoog (West);1964;;1965;4;;;;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
2;Schiermonnikoog-West;1972;;1972;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
2;Schiermonnikoog-West;;;1972;5;;;H;;;Nugter;Ja;LL.03517gk;VU collectie bevat +W;;VU 2e ex.;;0
2;Schiermonnikoog-West;1972;;1972;5;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU ;;LL.03518gk;;;kan weg;;0
2;Schiermonnikoog 2;;1873;;1;;;;;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
2;Schiermonnikoog 2;1916;1917;;2;;;;;;Nugter;;LL.03514gk;Linkerrand boven beschadigd;;Nugter;;0
2;Schiermonnikoog Oost;1946;;;3;;;;;Waterstaats kartografie Archief;Nugter;;LL.03515gk;Reproductie fa P.J. Mulder;;Nugter;;0
2;Schiermonnikoog-Oost;1964;;1965;4;;;;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
2;Schiermonnikoog-Oost;1973;;1974;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
2;Schiermonnikoog-Oost;;;1974;5;;W;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
2;Schiermonnikoog-Oost;;;1974;5;;;H;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
2;Schiermonnikoog-Oost;1973;;1974;5;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;;LL.03518gk;;;kan weg;;0
3;Uithuizen-West;1955;;;4;;;;;;VU;Ja;LL.03516gk;;;VU;;0
3;Uithuizen-West;1974;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
3;Uithuizen-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
3;Uithuizen-West;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
3;Uithuizen-West;1974;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
3;Uithuizen-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
3;Uithuizen-West;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
3;Uithuizen-Oost;1959;;1960;4;;;;;;VU;;LL.03516gk;;;VU;;0
3;Uithuizen-Oost;1974;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
3;Uithuizen-Oost;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
3;Uithuizen-Oost;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
3;Uithuizen-Oost;1974;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
3;Uithuizen-Oost;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
3;Uithuizen-Oost;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
4;Vlieland 1;1916;1917;;2;;;;;;VU;Ja;LL.03514gk;;;VU;;0
4;Vlieland 2;1916;1917;;2;;;;;;VU;Ja;LL.03514gk;;;VU;;0
4;Vlieland-Oost;1966;;1966;4;;;;;;VU;Ja;LL.03516gk;Foutje in VU map, kaarten komen uit 1966 niet 1965, wellicht een andere edite?;;VU;;0
4;Vlieland-West;1966;;1966;4;;;;;;VU;Ja;LL.03516gk;;;VU;;0
5-10;Harlingen-Sneek;1941;;;3;;;;;Kaartenverzameling Vrije Universiteit;VU;Ja;LL.03515gk;;;;;0
5;Harlingen-West;1964;;1965;4;;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;LL.03516gk;;;VU;;0
5;Harlingen-West;1972;;1972;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
5;Harlingen-West;;;1972;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
5;Harlingen-West;1972;;1972;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
5;Harlingen-West;;;1972;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
5;Harlingen-Oost;1964;;1966;4;;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;LL.03516gk;;;VU;;0
5;Harlingen-Oost;1972;;1974;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
5;Harlingen-Oost;;;1974;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
5;Harlingen-Oost;;;1974;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
5;Harlingen-Oost;1972;;1974;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
5;Harlingen-Oost;;;1974;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
5;Harlingen-Oost;;;1974;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
6;Leeuwarden West;1945;;1947;3;;;;;Kaartenverzameling Vrije Universiteit;VU;Ja;LL.03515gk;;;;;0
6;Leeuwarden-West;1966;;1967;4;Ja;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;LL.03515gk;;;VU;;0
6;Leeuwarden-West;1973;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
6;Leeuwarden-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
6;Leeuwarden-West;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
6;Leeuwarden-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
6;Leeuwarden-West;1973;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
6;Leeuwarden-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
6;Leeuwarden-West;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
6;Leeuwarden (Oost);1942;;1948;3;;;;;Kaartenverzameling Vrije Universiteit;VU;Ja;LL.03515gk;;;;;0
6;Leeuwarden-Oost;1966;;1967;4;;;;;;Nugter;Ja;;;;kan weg;;0
6;Leeuwarden-Oost;1966;;1967;4;;;;;;VU;Ja;LL.03516gk;;;VU;;0
6;Leeuwarden-Oost;1975;;1977;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
6;Leeuwarden-Oost;;;1977;5;;W;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
6;Leeuwarden-Oost;;;1977;5;;;H;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
6;Leeuwarden-Oost;1975;;1977;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
6;Leeuwarden-Oost;;;1977;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
6;Leeuwarden-Oost;;;1977;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
6;Leeuwarden-Oost;1975;;1977;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
6;Leeuwarden-Oost;;;1977;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
6;Leeuwarden-Oost;;;1977;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
7;Groningen 1;1887;1888;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;;;Nugter;;0
7;Groningen 2;1886;1888;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;Kleine scheurtjes rechts en onder;;Nugter;;0
7;Groningen 3;1886;1887;;1;;;;;;Nugter;;LL.03513gk;Kleine scheurtjes boven en onder;;Nugter;;0
7;Groningen 4;1886;1887;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;Lichte schade rechterzijde;;Nugter;;0
7;Groningen (West);1930;1935;;3;;;;;;Nugter;;LL.03515gk;;;Nugter;;0
7;Groningen West;1953-1954;;;4;;;;;;Nugter;Ja;;;;kan weg;;0
7;Groningen West;1953-1954;;;4;;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;LL.03516gk;;;VU;;0
7;Groningen-West;1976;;1979;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
7;Groningen-West;;;1979;5;;W;;;;Nugter;Ja;;;;kan weg;;0
7;Groningen-West;;;1979;5;;;H;;;Nugter;Ja;;;;kan weg;;0
7;Groningen-West;1976;;1979;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
7;Groningen-West;;;1979;5;;W;;;;VU;Ja;LL.03517gk;;;VU;;0
7;Groningen-West;;;1979;5;;;H;;;VU;Ja;;;;kan weg;;0
7;Groningen-West;1976;;1979;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
7;Groningen-West;;;1979;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
7;Groningen-West;;;1979;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
7;Groningen (Oost);1930;1935;;3;;;;;;Nugter;Ja;;;;Nugter;;0
7;Groningen (Oost);1930;1935;;3;;;;;;VU;Ja;LL.03515gk;;;kan weg;;0
7;Groningen-Oost;1960-1962;;1964;4;;;;;;Nugter;Ja;;;;kan weg;;0
7;Groningen-Oost;1960-1962;;1964;4;;;;;;VU;Ja;LL.03516gk;;;VU;;0
7;Groningen-Oost;1977;;1979;5;Ja;;;;;Nugter;Ja;LL.03517gk;Achterzijde bedrukt;;Nugter;;0
7;Groningen-Oost;;;1979;5;;W;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
7;Groningen-Oost;;;1979;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;;;;kan weg;;0
7;Groningen-Oost;1977;;1979;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
7;Groningen-Oost;;;1979;5;;W;;;;VU;Ja;;;;kan weg;;0
7;Groningen-Oost;;;1979;5;;;H;;;VU;Ja;;;;kan weg;;0
7;Groningen-Oost;1977;;1979;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
7;Groningen-Oost;;;1979;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
7;Groningen-Oost;;;1979;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
8;Nieuwschans 1;1866;1888;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;Nieuweschans bestaat uit halfbladen i.p.v. kwartbladen;;Nugter;;0
8;Nieuwschans 2;1886;1887;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
8;Nieuwe Schans;1930;1935;;3;;;;;;Nugter;;LL.03515gk;Achterzijde bedrukt;;Nugter;;0
8;Nieuwe Schans;1957-1958;;;4;;;;;;Nugter;Ja;;;;kan weg;;0
8;Nieuwe Schans;1957-1958;;;4;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;VU;;0
8;Nieuweschans;1976;;1978;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
8;Nieuweschans;;;1978;5;;W;;;;Nugter;Ja;;;;kan weg;;0
8;Nieuweschans;;;1978;5;;;H;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
8;Nieuweschans;1976;;1978;5;Ja;;;;;VU;Ja;LL.03516gk;;;kan weg;;0
8;Nieuweschans;;;1978;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
8;Nieuweschans;;;1978;5;;;H;;;VU;Ja;LL.03516gk;;;kan weg;;0
8;Nieuweschans;1976;;1978;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
8;Nieuweschans;;;1978;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
8;Nieuweschans;;;1978;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
