editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image,
3,62,HEERLEN,,,,1954,,,,,,Schaal 1:50000,Algemene Dienst Rijkswaterstaat,J.J. Groen & Zn. N.V. Leiden,,,,,derde_editie/62heerlen.jpg,
1BIS,39,RHENEN 3,Top. Inrichting,,1898,1895,,,,,,Schaal van 10000 Meters,,,,,,,edit_1bis/39rhenen3.jpg,
2BIS,43,WILLEMSTAD  (OOST),,,,,1942,1939,,,,Schaal 1:50000,Alg. Dienst Rijkswaterstaat,Top. Dienst,,,,,edit_2bis/43willemstadoost.jpg,
2BIS,51,EINDHOVEN OOST,,,1949,,,,,,,Schaal 1:50000,Alg. Dienst Rijkswaterstaat,Topografische Dienst,,,,,edit_2bis/51eindhovenoost.jpg,
3BIS,57,VALKENSWAARD-OOST,,1963,,,,1960,,,,Schaal 1:50000,Rjkswaterstaat Directie Algemene Dienst,Topografische Dienst,,,,,edit_3bis/57valkenswaardoost.jpg,
4BIS,59,GENK,,1974,,,,1973,,,,Schaal 1:50000,Afdeling Waterstaatskartografie Directie Waterhuishouding en Waterbeweging,Topografische Dienst,,,,,edit_4bis/59genk.jpg,
1,62,HEERLEN 3,Top. Inrichting,,1891,1890,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/62heerlen3.jpg,
,,,,,,,,,,,,,,,,,,,eerste_editie/bladwijzer.jpg,
2,62,HEERLEN 3,Top.-Dienst,,,,,1930,,,,Schaal van 10000 Meter,,,,,,,tweede_editie/62heerlen3.jpg,
4,31,UTRECHT-WEST,,1970,,,,,,,,,Afdeling Waterstaatskartografie Directie Waterhuishouding en Waterbeweging,Topografische Dienst,,,,W,vierde_editie/31utrechtwest3.jpg,
4,40,ARNHEM-OOST,,1979,,,,,,,,,Afdeling Waterstaatskartografie Directie Waterhuishouding en Waterbeweging,Topografische Dienst,,,H,,vierde_editie/40arnhemoost2.jpg,
4,62,HEERLEN-OOST,,1970,,,,1970,,,,,Rjkswaterstaat Directie Algemene Dienst,Topografische Dienst,,,,,vierde_editie/62heerlenoost.jpg,
5,43,WILLEMSTAD-WEST,"meetkundige dienst, delft",1983,,,,,,1980,"Topografische kaart 1980, Gedeeltelijk bijgewerkt",Schaal van 10000 Meter,"Waterstaatskartografie, opname 1979","Topografische Dienst, Delft",,,,,vijfde_editie/43willemstadwest3a.jpg,
,,,,,,,,,,,,,,,,,,,vijfde_editie/43willemstadwest3b.jpg,"Duplicaat van 3a, scheef gescand"
5,62,,"meetkundige dienst, delft",1983,,,,,,,"Topografische kaart 1980, Gedeeltelijk bijgewerkt",Schaal 1:50000,"Waterstaatskartografie, opname 1979","Topografische Dienst, Delft",,,H,,vijfde_editie/62heerlen2.jpg,
