unitTitle (parent),unitTitle,unitDate,unitId,id
"Bladnr. 01 Oost, Terschelling (Ameland).","Eerste uitgave, Terschelling, 1868",1868,2.16.5151 - 1061,C381688339
"Bladnr. 01 Oost, Terschelling (Ameland).","Tweede uitgave, Terschelling, 1916",1916,2.16.5151 - 1062,C381688340
"Bladnr. 01 Oost, Terschelling (Ameland).","Derde uitgave, Terschelling, 1946",1946,2.16.5151 - 1063,C381688341
"Bladnr. 01 Oost, Terschelling (Ameland).","Vierde uitgave, Ameland-Oost, 1964",1964,2.16.5151 - 1064,C381688342
"Bladnr. 01 Oost, Terschelling (Ameland).","Vijfde uitgave, Terschelling-Oost, 1972",1972,2.16.5151 - 1065,C381688343
"Bladnr. 01 Oost, Terschelling (Ameland).","Hydrologische waarnemingspunten, eerste uitgave, 1972",1972,2.16.5151 - 1066,C381688344
"Bladnr. 01 West, Terschelling (Ameland).","Eerste uitgave, Ameland, 1873",1873,2.16.5151 - 1068,C381688346
"Bladnr. 01 West, Terschelling (Ameland).","Derde uitgave, Ameland, 1915",1915,2.16.5151 - 1069,C381688347
"Bladnr. 01 West, Terschelling (Ameland).","Vierde uitgave, Ameland, 1941",1941,2.16.5151 - 1070,C381688348
"Bladnr. 01 West, Terschelling (Ameland).","Vijfde uitgave, Ameland-West, 1964",1964,2.16.5151 - 1071,C381688349
"Bladnr. 01 West, Terschelling (Ameland).","Zesde uitgave, Terschelling-West, 1971",1971,2.16.5151 - 1072,C381688350
"Bladnr. 01 West, Terschelling (Ameland).","Hydrologische waarnemingspunten, eerste uitgave, 1971",1971,2.16.5151 - 1073,C381688351
"Bladnr. 02 Oost, Schiermonnikoog.","Eerste uitgave, Schiermonnikoog blad 2, 1873",1873,2.16.5151 - 1046,C381688353
"Bladnr. 02 Oost, Schiermonnikoog.","Tweede uitgave, Schiermonnikoog blad 2, 1916",1916,2.16.5151 - 1047,C381688354
"Bladnr. 02 Oost, Schiermonnikoog.","Derde uitgave, Schiermonnikoog-Oost, 1946",1946,2.16.5151 - 1048,C381688355
"Bladnr. 02 Oost, Schiermonnikoog.","Vierde uitgave, Schiermonnikoog-Oost, 1964",1964,2.16.5151 - 1049,C381688356
"Bladnr. 02 Oost, Schiermonnikoog.","Vijfde uitgave, Schiermonnikoog-Oost, 1973",1973,2.16.5151 - 1050,C381688357
"Bladnr. 02 Oost, Schiermonnikoog.","Hydrologische waarnemingspunten, eerste uitgave, 1974",1974,2.16.5151 - 1051,C381688358
"Bladnr. 02 Oost, Schiermonnikoog.","Watervoorzieningseenheden, eerste uitgave, 1974",1974,2.16.5151 - 1052,C381688359
"Bladnr. 02 West, Schiermonnikoog.","Eerste uitgave, Schiermonnikoog blad 1, 1873",1873,2.16.5151 - 1054,C381688361
"Bladnr. 02 West, Schiermonnikoog.","Tweede uitgave, Schiermonnikoog blad 1, 1915",1915,2.16.5151 - 1055,C381688362
"Bladnr. 02 West, Schiermonnikoog.","Derde uitgave, Schiermonnikoog-West, 1941",1941,2.16.5151 - 1056,C381688363
"Bladnr. 02 West, Schiermonnikoog.","Vierde uitgave, Schiermonnikoog-West, 1964",1964,2.16.5151 - 1057,C381688364
"Bladnr. 02 West, Schiermonnikoog.","Vijfde uitgave, Schiermonnikoog-West, 1972",1972,2.16.5151 - 1058,C381688365
"Bladnr. 02 West, Schiermonnikoog.","Hydrologische waarnemingspunten, eerste uitgave, 1972",1972,2.16.5151 - 1059,C381688366
"Bladnr. 03 Oost, Uithuizen.","Eerste uitgave, Uithuizen blad 3, 1888",1888,2.16.5151 - 1028,C381688368
"Bladnr. 03 Oost, Uithuizen.","Tweede uitgave, Uithuizen blad 3, 1917",1917,2.16.5151 - 1029,C381688369
"Bladnr. 03 Oost, Uithuizen.","Derde uitgave, Uithuizen-Oost, 1946",1946,2.16.5151 - 1030,C381688370
"Bladnr. 03 Oost, Uithuizen.","Vierde uitgave, Uithuizen-Oost, 1959",1959,2.16.5151 - 1031,C381688371
"Bladnr. 03 Oost, Uithuizen.","Vijfde uitgave, Uithuizen-Oost, 1974",1974,2.16.5151 - 1032,C381688372
"Bladnr. 03 Oost, Uithuizen.","Hydrologische waarnemingspunten, eerste uitgave, 1975",1975,2.16.5151 - 1033,C381688373
"Bladnr. 03 Oost, Uithuizen.","Watervoorzieningseenheden, eerste uitgave, 1975",1975,2.16.5151 - 1034,C381688374
"Bladnr. 03 West, Uithuizen.","Eerste uitgave, Uithuizen blad 1, 1889",1889,2.16.5151 - 1036,C381688376
"Bladnr. 03 West, Uithuizen.","Eerste uitgave, Uithuizen blad 2, 1888",1888,2.16.5151 - 1037,C381688377
"Bladnr. 03 West, Uithuizen.","Tweede uitgave, Uithuizen blad 1, 1916",1916,2.16.5151 - 1038,C381688378
"Bladnr. 03 West, Uithuizen.","Tweede uitgave, Uithuizen blad 2, 1916",1916,2.16.5151 - 1039,C381688379
"Bladnr. 03 West, Uithuizen.","Derde uitgave, Uithuizen-West, 1946",1946,2.16.5151 - 1040,C381688380
"Bladnr. 03 West, Uithuizen.","Vierde uitgave, Uithuizen 1955, 1955",1955,2.16.5151 - 1041,C381688381
"Bladnr. 03 West, Uithuizen.","Zesde uitgave, Uithuizen-West, 1974",1974,2.16.5151 - 1042,C381688382
"Bladnr. 03 West, Uithuizen.","Hydrologische waarnemingspunten, eerste uitgave, 1975",1975,2.16.5151 - 1043,C381688383
"Bladnr. 03 West, Uithuizen.","Watervoorzieningseenheden, eerste uitgave, 1975",1975,2.16.5151 - 1044,C381688384
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Eerste uitgave, Hattem blad 2, 1882",1882,2.16.5151 - 591,C381688779
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Eerste uitgave, Hattem blad 4, 1883",1883,2.16.5151 - 592,C381688780
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Tweede uitgave, Hattem-Oost, 1936",1936,2.16.5151 - 593,C381688781
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Derde uitgave, Hattem-Oost, 1954-1955",1954-1955,2.16.5151 - 594,C381688782
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Vierde uitgave, Heerde-Oost, 1976",1976,2.16.5151 - 595,C381688783
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Vijfde editie, Heerde-Oost uitgave 1990, 1987-1990",1987-1990,2.16.5151 - 596,C381688784
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Hydrologische waarnemingspunten, eerste uitgave, 1978",1978,2.16.5151 - 597,C381688785
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Hydrologische waarnemingspunten, tweede uitgave, 1988",1988,2.16.5151 - 598,C381688786
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Watervoorzieningseenheden, eerste uitgave, 1978",1978,2.16.5151 - 599,C381688787
"Bladnr. 27 Oost, Heerde (Hattem-Oost).","Watervoorzieningseenheden, tweede uitgave, 1990",1990,2.16.5151 - 600,C381688788
"Bladnr. 27 West, Heerde (Hattem-West).","Eerste uitgave, Hattem blad 1, 1882",1882,2.16.5151 - 602,C381688790
"Bladnr. 27 West, Heerde (Hattem-West).","Eerste uitgave, Hattem blad 3, 1882",1882,2.16.5151 - 603,C381688791
"Bladnr. 27 West, Heerde (Hattem-West).","Tweede uitgave, Hattem-West, 1942",1942,2.16.5151 - 604,C381688792
"Bladnr. 27 West, Heerde (Hattem-West).","Derde uitgave, Hattem-West, 1960-1963",1960-1963,2.16.5151 - 605,C381688793
"Bladnr. 27 West, Heerde (Hattem-West).","Vierde uitgave, Heerde-West, 1974",1974,2.16.5151 - 606,C381688794
"Bladnr. 27 West, Heerde (Hattem-West).","Vijfde editie, Heerde-West uitgave 1988, 1986-1988",1986-1988,2.16.5151 - 607,C381688795
"Bladnr. 27 West, Heerde (Hattem-West).","Hydrologische waarnemingspunten, eerste uitgave, 1975",1975,2.16.5151 - 608,C381688796
"Bladnr. 27 West, Heerde (Hattem-West).","Hydrologische waarnemingspunten, tweede uitgave, 1988",1988,2.16.5151 - 609,C381688797
"Bladnr. 27 West, Heerde (Hattem-West).","Watervoorzieningseenheden, eerste uitgave, 1975",1975,2.16.5151 - 610,C381688798
"Bladnr. 27 West, Heerde (Hattem-West).","Watervoorzieningseenheden, tweede uitgave, 1988",1988,2.16.5151 - 611,C381688799
"Bladnr. 28 Oost, Almelo.","Eerste uitgave, Almelo blad 2, 1885",1885,2.16.5151 - 613,C381688801
"Bladnr. 28 Oost, Almelo.","Eerste uitgave, Almelo blad 4, 1884",1884,2.16.5151 - 614,C381688802
"Bladnr. 28 Oost, Almelo.","Tweede uitgave, Almelo blad 4, 1924",1924,2.16.5151 - 615,C381688803
"Bladnr. 28 Oost, Almelo.","Derde uitgave, Almelo-Oost, 1937",1937,2.16.5151 - 616,C381688804
"Bladnr. 28 Oost, Almelo.","Vierde uitgave, Almelo-Oost, 1954",1954,2.16.5151 - 617,C381688805
"Bladnr. 28 Oost, Almelo.","Vijfde uitgave, Almelo-Oost, 1978",1978,2.16.5151 - 618,C381688806
"Bladnr. 28 Oost, Almelo.","Vijfde editie, Almelo-Oost uitgave 1990, 1989-1990",1989-1990,2.16.5151 - 619,C381688807
"Bladnr. 28 Oost, Almelo.","Hydrologische waarnemingspunten, eerste uitgave, 1980",1980,2.16.5151 - 620,C381688808
"Bladnr. 28 Oost, Almelo.","Hydrologische waarnemingspunten, tweede uitgave, 1990",1990,2.16.5151 - 621,C381688809
