"kaartblad_nr","kaartblad","st_astext"
"5","Harlingen","POLYGON((141450 599972,181449 599698,181272 574698,141274 574973,141450 599972))"
"6","Leeuwarden","POLYGON((181449 599698,221450 599429,221271 574429,181272 574698,181449 599698))"
"3","Uithuizen","POLYGON((221630 624431,261633 624169,261451 599166,221450 599429,221630 624431))"
"7","Groningen","POLYGON((221450 599429,261451 599166,261271 574165,221271 574429,221450 599429))"
"8","Nieuweschans","POLYGON((261451 599166,281452 599037,281271 574035,261271 574165,261451 599166))"
"9","Helder","POLYGON((101275 575252,141274 574973,141098 549974,101101 550253,101275 575252))"
"10","Sneek","POLYGON((141274 574973,181272 574698,181095 549699,141098 549974,141274 574973))"
"11","Heerenveen","POLYGON((181272 574698,221271 574429,221093 549429,181095 549699,181272 574698))"
"12","Assen","POLYGON((221271 574429,261271 574165,261092 549164,221093 549429,221271 574429))"
"13","Bourtange","POLYGON((261271 574165,281271 574035,281092 549033,261092 549164,261271 574165))"
"14","Medemblik","POLYGON((101101 550253,141098 549974,140923 524976,100927 525255,101101 550253))"
"15","Stavoren","POLYGON((141098 549974,181095 549699,180920 524701,140923 524976,141098 549974))"
"16","Steenwijk","POLYGON((181095 549699,221093 549429,220916 524430,180920 524701,181095 549699))"
"17","Beilen","POLYGON((221093 549429,261092 549164,260914 524164,220916 524430,221093 549429))"
"18","Roswinkel","POLYGON((261092 549164,281092 549033,280914 524032,260914 524164,261092 549164))"
"20","Enkhuizen","POLYGON((140923 524976,180920 524701,180744 499703,140749 499978,140923 524976))"
"21","Zwolle","POLYGON((180920 524701,220916 524430,220741 499432,180744 499703,180920 524701))"
"22","Coevorden","POLYGON((220916 524430,260914 524164,260738 499165,220741 499432,220916 524430))"
"23","Nieuw Schoonebeek","POLYGON((260914 524164,280914 524032,280737 499032,260738 499165,260914 524164))"
"24","Hillegom","POLYGON((80754 500398,100753 500257,100579 475259,80581 475400,80754 500398))"
"25","Amsterdam","POLYGON((100753 500257,140749 499978,140575 474981,100579 475259,100753 500257))"
"26","Harderwijk","POLYGON((140749 499978,180744 499703,180570 474706,140575 474981,140749 499978))"
"27","Hattem","POLYGON((180744 499703,220741 499432,220566 474434,180570 474706,180744 499703))"
"28","Almelo","POLYGON((220741 499432,260738 499165,260563 474165,220566 474434,220741 499432))"
"29","Denekamp","POLYGON((260738 499165,280737 499032,280562 474032,260563 474165,260738 499165))"
"30","'s Gravenhage","POLYGON((60582 475541,100579 475259,100405 450262,60408 450542,60582 475541))"
"31","Utrecht","POLYGON((100579 475259,140575 474981,140401 449984,100405 450262,100579 475259))"
"32","Amersfoort","POLYGON((140575 474981,180570 474706,180396 449709,140401 449984,140575 474981))"
"33","Zutphen","POLYGON((180570 474706,220566 474434,220392 449436,180396 449709,180570 474706))"
"34","Groenlo","POLYGON((220566 474434,260563 474165,260389 449166,220392 449436,220566 474434))"
"35","Ahaus","POLYGON((260563 474165,280562 474032,280388 449032,260389 449166,260563 474165))"
"36","Goedereede","POLYGON((20410 450825,60408 450542,60234 425544,20235 425825,20410 450825))"
"37","Rotterdam","POLYGON((60408 450542,100405 450262,100231 425264,60234 425544,60408 450542))"
"38","Gorinchem","POLYGON((100405 450262,140401 449984,140227 424987,100231 425264,100405 450262))"
"39","Rhenen","POLYGON((140401 449984,180396 449709,180223 424712,140227 424987,140401 449984))"
"40","Arnhem","POLYGON((180396 449709,220392 449436,220219 424438,180223 424712,180396 449709))"
"41","Aalten","POLYGON((220392 449436,260389 449166,260217 424167,220219 424438,220392 449436))"
"42","Zierikzee","POLYGON((20235 425825,60234 425544,60060 400545,20061 400825,20235 425825))"
"43","Willemstad","POLYGON((60234 425544,100231 425264,100058 400266,60060 400545,60234 425544))"
"44","Geertruidenberg","POLYGON((100231 425264,140227 424987,140055 399989,100058 400266,100231 425264))"
"45","'s Hertogenbosch","POLYGON((140227 424987,180223 424712,180051 399714,140055 399989,140227 424987))"
"46","Vierlingsbeek","POLYGON((180223 424712,220219 424438,220048 399440,180051 399714,180223 424712))"
"47","Cadzand","POLYGON((60 400966,20061 400825,19885 375824,-116 375964,60 400966))"
"48","Middelburg","POLYGON((20061 400825,60060 400545,59886 375545,19885 375824,20061 400825))"
"49","Bergen op Zoom","POLYGON((60060 400545,100058 400266,99884 375268,59886 375545,60060 400545))"
"50","Breda","POLYGON((100058 400266,140055 399989,139882 374991,99884 375268,100058 400266))"
"51","Eindhoven","POLYGON((140055 399989,180051 399714,179879 374716,139882 374991,140055 399989))"
"52","Venlo","POLYGON((180051 399714,220048 399440,219877 374442,179879 374716,180051 399714))"
"61","Maastricht","POLYGON((139538 324993,179538 324717,179369 299717,139367 299992,139538 324993))"
"62","Heerlen","POLYGON((179538 324717,219539 324442,219372 299441,179369 299717,179538 324717))"
"59","Peer","POLYGON((139710 349993,179709 349717,179538 324717,139538 324993,139710 349993))"
"53","Sluis","POLYGON((-116 375964,19885 375824,19709 350823,-292 350962,-116 375964))"
"54","Neuzen","POLYGON((19885 375824,59886 375545,59711 350545,19709 350823,19885 375824))"
"55","Hulst","POLYGON((59886 375545,99884 375268,99711 350269,59711 350545,59886 375545))"
"56","Herenthals","POLYGON((99884 375268,139882 374991,139710 349993,99711 350269,99884 375268))"
"57","Valkenswaard","POLYGON((139882 374991,179879 374716,179709 349717,139710 349993,139882 374991))"
"58","Roermond","POLYGON((179879 374716,219877 374442,219708 349442,179709 349717,179879 374716))"
"19","Alkmaar","POLYGON((100156 525260,140923 524976,140749 499978,99982 500262,100156 525260))"
"2","Schiermonnikoog","POLYGON((181628 624698,221630 624431,221450 599429,181449 599698,181628 624698))"
"60","Sittard","POLYGON((179709 349717,219708 349442,219539 324442,179538 324717,179709 349717))"
"1","Ameland","POLYGON((141626 624973,181628 624698,181449 599698,141450 599972,141626 624973))"
"4","Vlieland","POLYGON((101449 600252,141450 599972,141274 574973,101275 575252,101449 600252))"
