db_id,jaar van uitgave,editie,display_title,nummer,uitgever,verkend,herzien,bewerkt,uitgave,bijgewerkt,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,editie,waterstaatskaart,bijkaart_we,bijkaart_hw,exemplaren,urls,plaatskenmerk,ocn,fysieke kenmerken,notities,stempels,provenance,url,
5,[1873],1,01 - AMELAND,1,Top. Bur.,,,1873,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/01 Ameland.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301023 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=en#page//11/17/19/111719151054593901028316620643013774590.jpg/mode/1up,
204,[1916],2,01 - AMELAND,1,Top. Inrichting,,1915,1916,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/01 Ameland.jpg,-,,,,,,,
373,[1941],3,01 - AMELAND,1,,,1941,,,,,,,,Alg. Dienst Rijkswaterstaat,Top. Dienst,3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/01 Ameland.jpg,-,,,,,,,
482,1965,4,01 - AMELAND OOST,1,,,1964,,1965,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/01 Ameland-Oost.jpg,-,,,,,,,
481,1965,4,01 - AMELAND WEST,1,,,1964,,1965,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/01 Ameland-West.jpg,-,,,,,,,
4,[1868],1,01 - TERSCHELLING,1,Min. v. Oorl. Top. Bur.,,,1868,,,,,,Schaal van 10000 Ellen,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/01 Terschelling.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301022 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//56/21/83/56218336090182592219918359481561660070.jpg/mode/1up,
374,[1947],3,01 - TERSCHELLING,[1],,,1946,,,1947,,,,,Alg. Dienst Rijkswaterstaat,Topografische Dienst,3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/01 Terschelling.jpg,-,,,,,,,
691,1972,5,01 - TERSCHELLING OOST,1,directie Waterhuishouding en Waterbeweging,,1972,,1972,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/01 Terschelling-Oost-1.jpg,-,,,,,,,
692,1972,5,01 - TERSCHELLING OOST - bijkrt.h.w.,1,directie Waterhuishouding en Waterbeweging,,,,1972,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/01 Terschelling-Oost-2.jpg,-,,,,,,,
689,1971,5,01 - TERSCHELLING WEST,1,,,1971,,1971,,,,,,"afdeling Waterstaatskartografie, directie Waterhuishouding en Waterbeweging van de Rijkswaterstaat",Topografische Dienst,5,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/01 Terschelling-West-1.jpg,-,,,,,,,
